epoch,train loss,gen loss,train acc,gen_acc,prob_orig,prob_targ,train bal acc,train gm,test loss,major test acc,neutral test acc,minor test acc,test acc,f1 score,test gm,test bal acc,name,model
180.0,0.19,0.0,95.31,0.0,0.0,0.0,93.65,93.51,2.05,70.98,56.24,42.15,56.46,0.0,51.88,56.46,ERM,resnet32
163.0,0.32,0.0,91.17,0.0,0.0,0.0,91.18,90.74,2.19,64.78,55.03,45.29,55.03,0.0,51.21,55.03,ERM-RS,resnet32
178.0,0.27,0.0,92.52,0.0,0.0,0.0,92.54,92.3,2.09,66.03,56.47,44.01,55.51,0.0,51.75,55.51,ERM-SMOTE,resnet32
167.0,0.24,0.0,84.86,0.0,0.0,0.0,89.83,89.23,1.99,62.53,58.3,45.72,55.54,0.0,52.17,55.54,ERM-RW,resnet32
165.0,0.24,0.0,85.93,0.0,0.0,0.0,90.32,89.84,2.0,65.62,57.06,47.07,56.59,0.0,53.3,56.59,ERM-CBLoss,resnet32
170.0,0.25,0.0,93.78,0.0,0.0,0.0,93.79,93.71,1.84,67.41,57.61,49.66,58.22,0.0,55.52,58.22,ERM-DRS,resnet32
175.0,0.24,6.66,94.33,5.27,0.0,0.05,1.0,1.0,1.85,65.39,59.22,49.97,58.2,0.0,55.34,58.2,ERM-M2m,resnet32
177.0,0.14,0.0,94.5,0.0,0.0,0.0,92.87,92.73,1.83,70.17,57.19,43.1,56.82,0.0,52.74,56.82,Focal,resnet32
181.0,3.43,0.0,86.46,0.0,0.0,0.0,78.68,71.96,4.13,71.21,57.58,37.21,55.36,0.0,45.19,55.36,LDAM,resnet32_norm
174.0,3.67,0.0,84.8,0.0,0.0,0.0,79.77,76.66,4.13,68.89,57.32,44.55,56.92,0.0,49.99,56.92,LDAM-DRW,resnet32_norm
189.0,6.16,0.0,80.97,0.0,0.0,0.0,1.0,1.0,4.13,62.83,54.08,53.64,56.82,0.0,50.92,56.82,LDAM-M2m,resnet32_norm
